sample_id,measurement_name,block_name,nm,abs,strain,induction,timepoint,norm_abs
20210930_0_2,2,20210930,459,0.3494,EVC,+,0,0.8146
20210930_0_2,2,20210930,460,0.3483,EVC,+,0,0.8066
20210930_0_2,2,20210930,461,0.3473,EVC,+,0,0.7984
20210930_0_2,2,20210930,462,0.3463,EVC,+,0,0.7907
20210930_0_2,2,20210930,463,0.3456,EVC,+,0,0.7852
20210930_0_2,2,20210930,464,0.3448,EVC,+,0,0.7788
20210930_0_2,2,20210930,465,0.3441,EVC,+,0,0.7732
20210930_0_2,2,20210930,466,0.3431,EVC,+,0,0.7656
20210930_0_2,2,20210930,467,0.3427,EVC,+,0,0.7626
20210930_0_2,2,20210930,468,0.3417,EVC,+,0,0.7549
20210930_0_2,2,20210930,469,0.3413,EVC,+,0,0.7516
20210930_0_2,2,20210930,470,0.3384,EVC,+,0,0.7288
20210930_0_2,2,20210930,471,0.3374,EVC,+,0,0.7215
20210930_0_2,2,20210930,472,0.3368,EVC,+,0,0.7168
20210930_0_2,2,20210930,473,0.3362,EVC,+,0,0.7122
20210930_0_2,2,20210930,474,0.3356,EVC,+,0,0.7072
20210930_0_2,2,20210930,475,0.3351,EVC,+,0,0.7037
20210930_0_2,2,20210930,476,0.3345,EVC,+,0,0.699
20210930_0_2,2,20210930,477,0.3339,EVC,+,0,0.6938
20210930_0_2,2,20210930,478,0.3333,EVC,+,0,0.6891
20210930_0_2,2,20210930,479,0.3329,EVC,+,0,0.6859
20210930_0_2,2,20210930,480,0.3323,EVC,+,0,0.6816
20210930_0_2,2,20210930,481,0.3319,EVC,+,0,0.6782
20210930_0_2,2,20210930,482,0.3315,EVC,+,0,0.675
20210930_0_2,2,20210930,483,0.3311,EVC,+,0,0.6725
20210930_0_2,2,20210930,484,0.3307,EVC,+,0,0.6693
20210930_0_2,2,20210930,485,0.3304,EVC,+,0,0.6669
20210930_0_2,2,20210930,486,0.3302,EVC,+,0,0.6648
20210930_0_2,2,20210930,487,0.3298,EVC,+,0,0.6617
20210930_0_2,2,20210930,488,0.3295,EVC,+,0,0.6595
20210930_0_2,2,20210930,489,0.3292,EVC,+,0,0.6573
20210930_0_2,2,20210930,490,0.329,EVC,+,0,0.6554
20210930_0_2,2,20210930,491,0.3285,EVC,+,0,0.6521
20210930_0_2,2,20210930,492,0.3282,EVC,+,0,0.6494
20210930_0_2,2,20210930,493,0.3279,EVC,+,0,0.6476
20210930_0_2,2,20210930,494,0.3275,EVC,+,0,0.6443
20210930_0_2,2,20210930,495,0.3272,EVC,+,0,0.6415
20210930_0_2,2,20210930,496,0.3268,EVC,+,0,0.6389
20210930_0_2,2,20210930,497,0.3265,EVC,+,0,0.6359
20210930_0_2,2,20210930,498,0.326,EVC,+,0,0.6324
20210930_0_2,2,20210930,499,0.3257,EVC,+,0,0.63
20210930_0_2,2,20210930,500,0.3252,EVC,+,0,0.6263
20210930_0_2,2,20210930,501,0.3248,EVC,+,0,0.6232
20210930_0_2,2,20210930,502,0.3241,EVC,+,0,0.6177
20210930_0_2,2,20210930,503,0.323,EVC,+,0,0.6093
20210930_0_2,2,20210930,504,0.3217,EVC,+,0,0.5988
20210930_0_2,2,20210930,505,0.3205,EVC,+,0,0.5892
20210930_0_2,2,20210930,506,0.3193,EVC,+,0,0.5804
20210930_0_2,2,20210930,507,0.3187,EVC,+,0,0.5751
20210930_0_2,2,20210930,508,0.3182,EVC,+,0,0.5714
20210930_0_2,2,20210930,509,0.318,EVC,+,0,0.5703
20210930_0_2,2,20210930,510,0.3182,EVC,+,0,0.5719
20210930_0_2,2,20210930,511,0.3185,EVC,+,0,0.574
20210930_0_2,2,20210930,512,0.3186,EVC,+,0,0.5746
20210930_0_2,2,20210930,513,0.3183,EVC,+,0,0.572
20210930_0_2,2,20210930,514,0.3174,EVC,+,0,0.5653
20210930_0_2,2,20210930,515,0.3164,EVC,+,0,0.5571
20210930_0_2,2,20210930,516,0.3152,EVC,+,0,0.548
20210930_0_2,2,20210930,517,0.3141,EVC,+,0,0.5394
20210930_0_2,2,20210930,518,0.313,EVC,+,0,0.5313
20210930_0_2,2,20210930,519,0.3121,EVC,+,0,0.5236
20210930_0_2,2,20210930,520,0.3113,EVC,+,0,0.5175
20210930_0_2,2,20210930,521,0.3104,EVC,+,0,0.5106
20210930_0_2,2,20210930,522,0.3096,EVC,+,0,0.5045
20210930_0_2,2,20210930,523,0.3089,EVC,+,0,0.4988
20210930_0_2,2,20210930,524,0.3081,EVC,+,0,0.4928
20210930_0_2,2,20210930,525,0.3075,EVC,+,0,0.4881
20210930_0_2,2,20210930,526,0.3068,EVC,+,0,0.4828
20210930_0_2,2,20210930,527,0.3061,EVC,+,0,0.4774
20210930_0_2,2,20210930,528,0.3055,EVC,+,0,0.4725
20210930_0_2,2,20210930,529,0.3048,EVC,+,0,0.4671
20210930_0_2,2,20210930,530,0.3041,EVC,+,0,0.4619
20210930_0_2,2,20210930,531,0.3035,EVC,+,0,0.4566
20210930_0_2,2,20210930,532,0.3027,EVC,+,0,0.4507
20210930_0_2,2,20210930,533,0.3019,EVC,+,0,0.4445
20210930_0_2,2,20210930,534,0.3011,EVC,+,0,0.4384
20210930_0_2,2,20210930,535,0.3003,EVC,+,0,0.4319
20210930_0_2,2,20210930,536,0.2995,EVC,+,0,0.4254
20210930_0_2,2,20210930,537,0.2986,EVC,+,0,0.419
20210930_0_2,2,20210930,538,0.2978,EVC,+,0,0.4125
20210930_0_2,2,20210930,539,0.297,EVC,+,0,0.4061
20210930_0_2,2,20210930,540,0.2962,EVC,+,0,0.3998
20210930_0_2,2,20210930,541,0.2954,EVC,+,0,0.3934
20210930_0_2,2,20210930,542,0.2946,EVC,+,0,0.3875
20210930_0_2,2,20210930,543,0.2938,EVC,+,0,0.3816
20210930_0_2,2,20210930,544,0.293,EVC,+,0,0.3753
20210930_0_2,2,20210930,545,0.2924,EVC,+,0,0.3703
20210930_0_2,2,20210930,546,0.2917,EVC,+,0,0.3649
20210930_0_2,2,20210930,547,0.291,EVC,+,0,0.3596
20210930_0_2,2,20210930,548,0.2904,EVC,+,0,0.3548
20210930_0_2,2,20210930,549,0.2899,EVC,+,0,0.3507
20210930_0_2,2,20210930,550,0.2894,EVC,+,0,0.3467
20210930_0_2,2,20210930,551,0.2889,EVC,+,0,0.3431
20210930_0_2,2,20210930,552,0.2884,EVC,+,0,0.3394
20210930_0_2,2,20210930,553,0.288,EVC,+,0,0.3363
20210930_0_2,2,20210930,554,0.2877,EVC,+,0,0.3335
20210930_0_2,2,20210930,555,0.2873,EVC,+,0,0.3309
20210930_0_2,2,20210930,556,0.287,EVC,+,0,0.3285
20210930_0_2,2,20210930,557,0.2868,EVC,+,0,0.3264
20210930_0_2,2,20210930,558,0.2865,EVC,+,0,0.3246
20210930_0_2,2,20210930,559,0.2864,EVC,+,0,0.3236
20210930_0_2,2,20210930,560,0.2862,EVC,+,0,0.3219
20210930_0_2,2,20210930,561,0.2861,EVC,+,0,0.321
20210930_0_2,2,20210930,562,0.286,EVC,+,0,0.3202
20210930_0_2,2,20210930,563,0.2859,EVC,+,0,0.3194
20210930_0_2,2,20210930,564,0.2858,EVC,+,0,0.3188
20210930_0_2,2,20210930,565,0.2857,EVC,+,0,0.3182
20210930_0_2,2,20210930,566,0.2858,EVC,+,0,0.3187
20210930_0_2,2,20210930,567,0.2858,EVC,+,0,0.3187
20210930_0_2,2,20210930,568,0.2858,EVC,+,0,0.3185
20210930_0_2,2,20210930,569,0.2858,EVC,+,0,0.3192
20210930_0_2,2,20210930,570,0.2859,EVC,+,0,0.3193
20210930_0_2,2,20210930,571,0.286,EVC,+,0,0.3205
20210930_0_2,2,20210930,572,0.2861,EVC,+,0,0.321
20210930_0_2,2,20210930,573,0.2862,EVC,+,0,0.3223
20210930_0_2,2,20210930,574,0.2864,EVC,+,0,0.3233
20210930_0_2,2,20210930,575,0.2865,EVC,+,0,0.3241
20210930_0_2,2,20210930,576,0.2866,EVC,+,0,0.3249
20210930_0_2,2,20210930,577,0.2868,EVC,+,0,0.3264
20210930_0_2,2,20210930,578,0.2869,EVC,+,0,0.3271
20210930_0_2,2,20210930,579,0.287,EVC,+,0,0.3281
20210930_0_2,2,20210930,580,0.2871,EVC,+,0,0.3292
20210930_0_2,2,20210930,581,0.2873,EVC,+,0,0.3307
20210930_0_2,2,20210930,582,0.2875,EVC,+,0,0.3319
20210930_0_2,2,20210930,583,0.2877,EVC,+,0,0.3336
20210930_0_2,2,20210930,584,0.2878,EVC,+,0,0.3346
20210930_0_2,2,20210930,585,0.288,EVC,+,0,0.3363
20210930_0_2,2,20210930,586,0.2882,EVC,+,0,0.3379
20210930_0_2,2,20210930,587,0.2884,EVC,+,0,0.339
20210930_0_2,2,20210930,588,0.2887,EVC,+,0,0.3413
20210930_0_2,2,20210930,589,0.2889,EVC,+,0,0.3429
20210930_0_2,2,20210930,590,0.2891,EVC,+,0,0.345
20210930_0_2,2,20210930,591,0.2894,EVC,+,0,0.347
20210930_0_2,2,20210930,592,0.2897,EVC,+,0,0.3493
20210930_0_2,2,20210930,593,0.29,EVC,+,0,0.3519
20210930_0_2,2,20210930,594,0.2904,EVC,+,0,0.3546
20210930_0_2,2,20210930,595,0.2907,EVC,+,0,0.3568
20210930_0_2,2,20210930,596,0.291,EVC,+,0,0.3592
20210930_0_2,2,20210930,597,0.2913,EVC,+,0,0.362
20210930_0_2,2,20210930,598,0.2918,EVC,+,0,0.3655
20210930_0_2,2,20210930,599,0.2921,EVC,+,0,0.3683
20210930_0_2,2,20210930,600,0.2926,EVC,+,0,0.3718
20210930_0_2,2,20210930,601,0.2931,EVC,+,0,0.3758
20210930_0_2,2,20210930,602,0.2936,EVC,+,0,0.38
20210930_0_2,2,20210930,603,0.2943,EVC,+,0,0.3848
20210930_0_2,2,20210930,604,0.2949,EVC,+,0,0.3897
20210930_0_2,2,20210930,605,0.2956,EVC,+,0,0.3953
20210930_0_2,2,20210930,606,0.2963,EVC,+,0,0.4009
20210930_0_2,2,20210930,607,0.2971,EVC,+,0,0.4073
20210930_0_2,2,20210930,608,0.2981,EVC,+,0,0.4147
20210930_0_2,2,20210930,609,0.2989,EVC,+,0,0.4212
20210930_0_2,2,20210930,610,0.3,EVC,+,0,0.4293
20210930_0_2,2,20210930,611,0.301,EVC,+,0,0.4371
20210930_0_2,2,20210930,612,0.3021,EVC,+,0,0.446
20210930_0_2,2,20210930,613,0.3033,EVC,+,0,0.4552
20210930_0_2,2,20210930,614,0.3044,EVC,+,0,0.4639
20210930_0_2,2,20210930,615,0.3056,EVC,+,0,0.4732
20210930_0_2,2,20210930,616,0.3068,EVC,+,0,0.4823
20210930_0_2,2,20210930,617,0.3078,EVC,+,0,0.4906
20210930_0_2,2,20210930,618,0.3091,EVC,+,0,0.5004
20210930_0_2,2,20210930,619,0.3101,EVC,+,0,0.5084
20210930_0_2,2,20210930,620,0.3111,EVC,+,0,0.5161
20210930_0_2,2,20210930,621,0.3121,EVC,+,0,0.5237
20210930_0_2,2,20210930,622,0.3129,EVC,+,0,0.5304
20210930_0_2,2,20210930,623,0.3136,EVC,+,0,0.5361
20210930_0_2,2,20210930,624,0.3143,EVC,+,0,0.5413
20210930_0_2,2,20210930,625,0.3149,EVC,+,0,0.5459
20210930_0_2,2,20210930,626,0.3154,EVC,+,0,0.5498
20210930_0_2,2,20210930,627,0.3158,EVC,+,0,0.5528
20210930_0_2,2,20210930,628,0.3161,EVC,+,0,0.555
20210930_0_2,2,20210930,629,0.3163,EVC,+,0,0.5565
20210930_0_2,2,20210930,630,0.3163,EVC,+,0,0.5567
20210930_0_2,2,20210930,631,0.3162,EVC,+,0,0.5563
20210930_0_2,2,20210930,632,0.3161,EVC,+,0,0.5552
20210930_0_2,2,20210930,633,0.3158,EVC,+,0,0.553
20210930_0_2,2,20210930,634,0.3154,EVC,+,0,0.5497
20210930_0_2,2,20210930,635,0.315,EVC,+,0,0.5465
20210930_0_2,2,20210930,636,0.3144,EVC,+,0,0.5415
20210930_0_2,2,20210930,637,0.3135,EVC,+,0,0.5351
20210930_0_2,2,20210930,638,0.3126,EVC,+,0,0.5283
20210930_0_2,2,20210930,639,0.3117,EVC,+,0,0.5209
20210930_0_2,2,20210930,640,0.3106,EVC,+,0,0.5122
20210930_0_2,2,20210930,641,0.3094,EVC,+,0,0.503
20210930_0_2,2,20210930,642,0.3081,EVC,+,0,0.4931
20210930_0_2,2,20210930,643,0.307,EVC,+,0,0.4839
20210930_0_2,2,20210930,644,0.3057,EVC,+,0,0.4741
20210930_0_2,2,20210930,645,0.3045,EVC,+,0,0.4647
20210930_0_2,2,20210930,646,0.3032,EVC,+,0,0.4544
20210930_0_2,2,20210930,647,0.302,EVC,+,0,0.4453
20210930_0_2,2,20210930,648,0.3009,EVC,+,0,0.4368
20210930_0_2,2,20210930,649,0.2999,EVC,+,0,0.4286
20210930_0_2,2,20210930,650,0.2988,EVC,+,0,0.4201
20210930_0_2,2,20210930,651,0.2977,EVC,+,0,0.4115
20210930_0_2,2,20210930,652,0.2969,EVC,+,0,0.4052
20210930_0_2,2,20210930,653,0.2959,EVC,+,0,0.3977
20210930_0_2,2,20210930,654,0.295,EVC,+,0,0.3907
20210930_0_2,2,20210930,655,0.2942,EVC,+,0,0.3848
20210930_0_2,2,20210930,656,0.2935,EVC,+,0,0.3788
20210930_0_2,2,20210930,657,0.2928,EVC,+,0,0.3733
20210930_0_2,2,20210930,658,0.2922,EVC,+,0,0.369
20210930_0_2,2,20210930,659,0.2918,EVC,+,0,0.3655
20210930_0_2,2,20210930,660,0.2914,EVC,+,0,0.3626
20210930_0_2,2,20210930,661,0.2912,EVC,+,0,0.3612
20210930_0_2,2,20210930,662,0.2913,EVC,+,0,0.3614
20210930_0_2,2,20210930,663,0.2914,EVC,+,0,0.3629
20210930_0_2,2,20210930,664,0.2919,EVC,+,0,0.3665
20210930_0_2,2,20210930,665,0.2925,EVC,+,0,0.3711
20210930_0_2,2,20210930,666,0.2933,EVC,+,0,0.3774
20210930_0_2,2,20210930,667,0.2942,EVC,+,0,0.3845
20210930_0_2,2,20210930,668,0.2954,EVC,+,0,0.3936
20210930_0_2,2,20210930,669,0.2965,EVC,+,0,0.4025
20210930_0_2,2,20210930,670,0.2978,EVC,+,0,0.4121
20210930_0_2,2,20210930,671,0.2989,EVC,+,0,0.4209
20210930_0_2,2,20210930,672,0.3,EVC,+,0,0.4298
20210930_0_2,2,20210930,673,0.3011,EVC,+,0,0.4384
20210930_0_2,2,20210930,674,0.3023,EVC,+,0,0.4472
20210930_0_2,2,20210930,675,0.3033,EVC,+,0,0.4554
20210930_0_2,2,20210930,676,0.3045,EVC,+,0,0.465
20210930_0_2,2,20210930,677,0.3058,EVC,+,0,0.4746
20210930_0_2,2,20210930,678,0.3071,EVC,+,0,0.485
20210930_0_2,2,20210930,679,0.3085,EVC,+,0,0.4958
20210930_0_2,2,20210930,680,0.3097,EVC,+,0,0.5053
20210930_0_2,2,20210930,681,0.3106,EVC,+,0,0.5126
20210930_0_2,2,20210930,682,0.3113,EVC,+,0,0.518
20210930_0_2,2,20210930,683,0.3115,EVC,+,0,0.5196
20210930_0_2,2,20210930,684,0.3112,EVC,+,0,0.5172
20210930_0_2,2,20210930,685,0.3105,EVC,+,0,0.5111
20210930_0_2,2,20210930,686,0.3092,EVC,+,0,0.501
20210930_0_2,2,20210930,687,0.3074,EVC,+,0,0.4871
20210930_0_2,2,20210930,688,0.3052,EVC,+,0,0.4705
20210930_0_2,2,20210930,689,0.3029,EVC,+,0,0.4524
20210930_0_2,2,20210930,690,0.3004,EVC,+,0,0.433
20210930_0_2,2,20210930,691,0.2977,EVC,+,0,0.4117
20210930_0_2,2,20210930,692,0.2951,EVC,+,0,0.3917
20210930_0_2,2,20210930,693,0.2925,EVC,+,0,0.3715
20210930_0_2,2,20210930,694,0.2901,EVC,+,0,0.3526
20210930_0_2,2,20210930,695,0.2877,EVC,+,0,0.3338
20210930_0_2,2,20210930,696,0.2856,EVC,+,0,0.3172
20210930_0_2,2,20210930,697,0.2836,EVC,+,0,0.3014
20210930_0_2,2,20210930,698,0.2817,EVC,+,0,0.2869
20210930_0_2,2,20210930,699,0.28,EVC,+,0,0.2733
20210930_0_2,2,20210930,700,0.279,EVC,+,0,0.2655
20210930_0_2,2,20210930,701,0.277,EVC,+,0,0.2504
20210930_0_2,2,20210930,702,0.2755,EVC,+,0,0.2387
20210930_0_2,2,20210930,703,0.2743,EVC,+,0,0.2293
20210930_0_2,2,20210930,704,0.2731,EVC,+,0,0.2198
20210930_0_2,2,20210930,705,0.272,EVC,+,0,0.211
20210930_0_2,2,20210930,706,0.2709,EVC,+,0,0.2024
20210930_0_2,2,20210930,707,0.2698,EVC,+,0,0.1938
20210930_0_2,2,20210930,708,0.2687,EVC,+,0,0.1856
20210930_0_2,2,20210930,709,0.2677,EVC,+,0,0.1777
20210930_0_2,2,20210930,710,0.2667,EVC,+,0,0.1701
20210930_0_2,2,20210930,711,0.2659,EVC,+,0,0.1634
20210930_0_2,2,20210930,712,0.2649,EVC,+,0,0.156
20210930_0_2,2,20210930,713,0.2641,EVC,+,0,0.1494
20210930_0_2,2,20210930,714,0.2632,EVC,+,0,0.1429
20210930_0_2,2,20210930,715,0.2625,EVC,+,0,0.1369
20210930_0_2,2,20210930,716,0.2617,EVC,+,0,0.1306
20210930_0_2,2,20210930,717,0.2609,EVC,+,0,0.1249
20210930_0_2,2,20210930,718,0.2602,EVC,+,0,0.1192
20210930_0_2,2,20210930,719,0.2595,EVC,+,0,0.1139
20210930_0_2,2,20210930,720,0.2588,EVC,+,0,0.1083
20210930_0_2,2,20210930,721,0.2582,EVC,+,0,0.1034
20210930_0_2,2,20210930,722,0.2575,EVC,+,0,0.0978
20210930_0_2,2,20210930,723,0.2569,EVC,+,0,0.0931
20210930_0_2,2,20210930,724,0.2563,EVC,+,0,0.0885
20210930_0_2,2,20210930,725,0.2557,EVC,+,0,0.0842
20210930_0_2,2,20210930,726,0.2551,EVC,+,0,0.0798
20210930_0_2,2,20210930,727,0.2546,EVC,+,0,0.0752
20210930_0_2,2,20210930,728,0.254,EVC,+,0,0.071
20210930_0_2,2,20210930,729,0.2535,EVC,+,0,0.0669
20210930_0_2,2,20210930,730,0.253,EVC,+,0,0.0629
20210930_0_2,2,20210930,731,0.2525,EVC,+,0,0.059
20210930_0_2,2,20210930,732,0.252,EVC,+,0,0.0556
20210930_0_2,2,20210930,733,0.2515,EVC,+,0,0.0515
20210930_0_2,2,20210930,734,0.2511,EVC,+,0,0.0484
20210930_0_2,2,20210930,735,0.2506,EVC,+,0,0.0445
20210930_0_2,2,20210930,736,0.2503,EVC,+,0,0.0416
20210930_0_2,2,20210930,737,0.2498,EVC,+,0,0.038
20210930_0_2,2,20210930,738,0.2494,EVC,+,0,0.0348
20210930_0_2,2,20210930,739,0.2489,EVC,+,0,0.031
20210930_0_2,2,20210930,740,0.2485,EVC,+,0,0.0279
20210930_0_2,2,20210930,741,0.2481,EVC,+,0,0.0248
20210930_0_2,2,20210930,742,0.2477,EVC,+,0,0.0221
20210930_0_2,2,20210930,743,0.2474,EVC,+,0,0.0192
20210930_0_2,2,20210930,744,0.247,EVC,+,0,0.016
20210930_0_2,2,20210930,745,0.2467,EVC,+,0,0.0137
20210930_0_2,2,20210930,746,0.2463,EVC,+,0,0.0111
20210930_0_2,2,20210930,747,0.2459,EVC,+,0,0.0077
20210930_0_2,2,20210930,748,0.2456,EVC,+,0,0.0055
20210930_0_2,2,20210930,749,0.2453,EVC,+,0,0.0027
20210930_0_2,2,20210930,750,0.2449,EVC,+,0,0
20210930_0_3,3,20210930,400,0.3528,J23100,-,0,0.9285
20210930_0_3,3,20210930,401,0.3518,J23100,-,0,0.9237
20210930_0_3,3,20210930,402,0.3514,J23100,-,0,0.9215
20210930_0_3,3,20210930,403,0.3511,J23100,-,0,0.9199
20210930_0_3,3,20210930,404,0.3503,J23100,-,0,0.9157
20210930_0_3,3,20210930,405,0.3499,J23100,-,0,0.9135
20210930_0_3,3,20210930,406,0.3497,J23100,-,0,0.9124
20210930_0_3,3,20210930,407,0.3495,J23100,-,0,0.9112
20210930_0_3,3,20210930,408,0.3497,J23100,-,0,0.9125
20210930_0_3,3,20210930,409,0.3496,J23100,-,0,0.9119
20210930_0_3,3,20210930,410,0.35,J23100,-,0,0.914
20210930_0_3,3,20210930,411,0.3504,J23100,-,0,0.9164
20210930_0_3,3,20210930,412,0.3502,J23100,-,0,0.9152
20210930_0_3,3,20210930,413,0.3507,J23100,-,0,0.9179
20210930_0_3,3,20210930,414,0.3512,J23100,-,0,0.9202
20210930_0_3,3,20210930,415,0.3516,J23100,-,0,0.9222
20210930_0_3,3,20210930,416,0.3522,J23100,-,0,0.9255
20210930_0_3,3,20210930,417,0.3525,J23100,-,0,0.9272
20210930_0_3,3,20210930,418,0.3528,J23100,-,0,0.9288
20210930_0_3,3,20210930,419,0.353,J23100,-,0,0.9297
20210930_0_3,3,20210930,420,0.3535,J23100,-,0,0.9324
20210930_0_3,3,20210930,421,0.3535,J23100,-,0,0.9324
20210930_0_3,3,20210930,422,0.3535,J23100,-,0,0.9325
20210930_0_3,3,20210930,423,0.3538,J23100,-,0,0.9337
20210930_0_3,3,20210930,424,0.3538,J23100,-,0,0.9337
20210930_0_3,3,20210930,425,0.3539,J23100,-,0,0.9343
20210930_0_3,3,20210930,426,0.3535,J23100,-,0,0.9324
20210930_0_3,3,20210930,427,0.3536,J23100,-,0,0.9329
20210930_0_3,3,20210930,428,0.3539,J23100,-,0,0.9347
20210930_0_3,3,20210930,429,0.3538,J23100,-,0,0.9342
20210930_0_3,3,20210930,430,0.3541,J23100,-,0,0.9358
20210930_0_3,3,20210930,431,0.3545,J23100,-,0,0.9378
20210930_0_3,3,20210930,432,0.3551,J23100,-,0,0.9405
20210930_0_3,3,20210930,433,0.356,J23100,-,0,0.9452
20210930_0_3,3,20210930,434,0.3569,J23100,-,0,0.9503
20210930_0_3,3,20210930,435,0.3579,J23100,-,0,0.9555
20210930_0_3,3,20210930,436,0.3593,J23100,-,0,0.9627
20210930_0_3,3,20210930,437,0.3603,J23100,-,0,0.968
20210930_0_3,3,20210930,438,0.3617,J23100,-,0,0.9754
20210930_0_3,3,20210930,439,0.3628,J23100,-,0,0.9808
20210930_0_3,3,20210930,440,0.3642,J23100,-,0,0.9881
20210930_0_3,3,20210930,441,0.3648,J23100,-,0,0.9917
20210930_0_3,3,20210930,442,0.3657,J23100,-,0,0.9962
20210930_0_3,3,20210930,443,0.3661,J23100,-,0,0.9985
20210930_0_3,3,20210930,444,0.3663,J23100,-,0,0.9991
20210930_0_3,3,20210930,445,0.3664,J23100,-,0,1
20210930_0_3,3,20210930,446,0.3658,J23100,-,0,0.9969
20210930_0_3,3,20210930,447,0.3649,J23100,-,0,0.9918
20210930_0_3,3,20210930,448,0.3634,J23100,-,0,0.9843
20210930_0_3,3,20210930,449,0.3621,J23100,-,0,0.9774
20210930_0_3,3,20210930,450,0.3606,J23100,-,0,0.9696
20210930_0_3,3,20210930,451,0.3584,J23100,-,0,0.9582
20210930_0_3,3,20210930,452,0.3565,J23100,-,0,0.9481
20210930_0_3,3,20210930,453,0.3543,J23100,-,0,0.9367
20210930_0_3,3,20210930,454,0.3524,J23100,-,0,0.9267
20210930_0_3,3,20210930,455,0.3502,J23100,-,0,0.9153
20210930_0_3,3,20210930,456,0.3485,J23100,-,0,0.9061
20210930_0_3,3,20210930,457,0.3466,J23100,-,0,0.8965
20210930_0_3,3,20210930,458,0.3447,J23100,-,0,0.8866
20210930_0_3,3,20210930,459,0.343,J23100,-,0,0.8773
20210930_0_3,3,20210930,460,0.3416,J23100,-,0,0.87
20210930_0_3,3,20210930,461,0.3401,J23100,-,0,0.8625
20210930_0_3,3,20210930,462,0.3391,J23100,-,0,0.8571
20210930_0_3,3,20210930,463,0.3379,J23100,-,0,0.8509
20210930_0_3,3,20210930,464,0.3368,J23100,-,0,0.8453
20210930_0_3,3,20210930,465,0.3356,J23100,-,0,0.8385
20210930_0_3,3,20210930,466,0.3344,J23100,-,0,0.8325
20210930_0_3,3,20210930,467,0.3335,J23100,-,0,0.8278
20210930_0_3,3,20210930,468,0.3321,J23100,-,0,0.8206
20210930_0_3,3,20210930,469,0.3313,J23100,-,0,0.8162
20210930_0_3,3,20210930,470,0.3306,J23100,-,0,0.8128
20210930_0_3,3,20210930,471,0.3292,J23100,-,0,0.8051
20210930_0_3,3,20210930,472,0.3281,J23100,-,0,0.7995
20210930_0_3,3,20210930,473,0.3272,J23100,-,0,0.7946
20210930_0_3,3,20210930,474,0.3263,J23100,-,0,0.7899
20210930_0_3,3,20210930,475,0.3252,J23100,-,0,0.7846
20210930_0_3,3,20210930,476,0.3244,J23100,-,0,0.78
20210930_0_3,3,20210930,477,0.3234,J23100,-,0,0.7752
20210930_0_3,3,20210930,478,0.3225,J23100,-,0,0.7703
20210930_0_3,3,20210930,479,0.3217,J23100,-,0,0.7661
20210930_0_3,3,20210930,480,0.3208,J23100,-,0,0.7614
20210930_0_3,3,20210930,481,0.3201,J23100,-,0,0.7575
20210930_0_3,3,20210930,482,0.3193,J23100,-,0,0.7536
20210930_0_3,3,20210930,483,0.3186,J23100,-,0,0.75
20210930_0_3,3,20210930,484,0.3178,J23100,-,0,0.7458
20210930_0_3,3,20210930,485,0.3171,J23100,-,0,0.7422
20210930_0_3,3,20210930,486,0.3165,J23100,-,0,0.739
20210930_0_3,3,20210930,487,0.3159,J23100,-,0,0.7357
20210930_0_3,3,20210930,488,0.3153,J23100,-,0,0.7324
20210930_0_3,3,20210930,489,0.3146,J23100,-,0,0.729
20210930_0_3,3,20210930,490,0.3141,J23100,-,0,0.7263
20210930_0_3,3,20210930,491,0.3134,J23100,-,0,0.7227
20210930_0_3,3,20210930,492,0.3129,J23100,-,0,0.72
20210930_0_3,3,20210930,493,0.3122,J23100,-,0,0.7165
20210930_0_3,3,20210930,494,0.3115,J23100,-,0,0.713
20210930_0_3,3,20210930,495,0.3109,J23100,-,0,0.7098
20210930_0_3,3,20210930,496,0.3102,J23100,-,0,0.706
20210930_0_3,3,20210930,497,0.3096,J23100,-,0,0.7029
20210930_0_3,3,20210930,498,0.3089,J23100,-,0,0.699
20210930_0_3,3,20210930,499,0.3081,J23100,-,0,0.6952
20210930_0_3,3,20210930,500,0.3073,J23100,-,0,0.6906
20210930_0_3,3,20210930,501,0.3065,J23100,-,0,0.6868
20210930_0_3,3,20210930,502,0.3057,J23100,-,0,0.6822
20210930_0_3,3,20210930,503,0.3048,J23100,-,0,0.6776
20210930_0_3,3,20210930,504,0.304,J23100,-,0,0.6735
20210930_0_3,3,20210930,505,0.3031,J23100,-,0,0.6686
20210930_0_3,3,20210930,506,0.3022,J23100,-,0,0.664
20210930_0_3,3,20210930,507,0.3013,J23100,-,0,0.6593
20210930_0_3,3,20210930,508,0.3004,J23100,-,0,0.6546
20210930_0_3,3,20210930,509,0.2994,J23100,-,0,0.6494
20210930_0_3,3,20210930,510,0.2984,J23100,-,0,0.6444
20210930_0_3,3,20210930,511,0.2975,J23100,-,0,0.6394
20210930_0_3,3,20210930,512,0.2964,J23100,-,0,0.634
20210930_0_3,3,20210930,513,0.2953,J23100,-,0,0.6282
20210930_0_3,3,20210930,514,0.2942,J23100,-,0,0.6224
20210930_0_3,3,20210930,515,0.2932,J23100,-,0,0.6168
20210930_0_3,3,20210930,516,0.292,J23100,-,0,0.611
20210930_0_3,3,20210930,517,0.291,J23100,-,0,0.6055
20210930_0_3,3,20210930,518,0.2899,J23100,-,0,0.6
20210930_0_3,3,20210930,519,0.2888,J23100,-,0,0.5942
20210930_0_3,3,20210930,520,0.2878,J23100,-,0,0.5888
